2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2
RHI,RHI,PFGC,PFGC,PFGC,PFGC,PAYX,PAYX
RNGR,RNGR,RMR,RMR,RMR,RMR,PFE,PFE
RYI,RYI,RNGR,RNGR,RNGR,RNGR,PG,PG
SAIA,SAIA,RYN,RYN,RYN,RYN,PODD,PODD
SCHL,SCHL,SLB,SLB,SLB,SLB,RSG,RSG
SHEL,SHEL,SPNS,SPNS,SPNS,SPNS,RSI,RSI
SHOO,SHOO,STRA,STRA,STRA,STRA,SLB,SLB
SLB,SLB,SYY,SYY,SYY,SYY,SPNS,SPNS
STRL,STRL,TIMB,TIMB,TIMB,TIMB,SPXC,SPXC
TBI,TBI,TNK,TNK,TNK,TNK,SSNC,SSNC
TECH,TECH,TRAK,TRAK,TRAK,TRAK,TAP,TAP
TFII,TFII,TS,TS,TS,TS,TGNA,TGNA
TGNA,TGNA,TT,TT,TT,TT,TIMB,TIMB
TH,TH,TTI,TTI,TTI,TTI,TRAK,TRAK
UAN,UAN,VIV,VIV,VIV,VIV,TSM,TSM
ULH,ULH,VMC,VMC,VMC,VMC,TT,TT
VLO,VLO,XYZ,XYZ,XYZ,XYZ,TTEK,TTEK
XOM,XOM,ZTS,ZTS,ZTS,ZTS,UTHR,UTHR
ACA,ACA,ZWS,ZWS,ZWS,ZWS,WAB,WAB
ADM,ADM,AAON,AAON,AAON,AAON,WINA,WINA
AIV,AIV,ACCS,ACCS,ACCS,ACCS,ADP,ADP
AMKR,AMKR,ADBE,ADBE,ADBE,ADBE,AMPH,AMPH
AMPH,AMPH,ADM,ADM,ADM,ADM,AMZN,AMZN
AMPY,AMPY,ADNT,ADNT,ADNT,ADNT,ARTW,ARTW
APA,APA,ADP,ADP,ADP,ADP,ASC,ASC
ARCB,ARCB,AER,AER,AER,AER,ASM,ASM
ATKR,ATKR,AGCO,AGCO,AGCO,AGCO,ASYS,ASYS
AVB,AVB,AIT,AIT,AIT,AIT,AU,AU
AVD,AVD,ALK,ALK,ALK,ALK,AVNT,AVNT
AVNS,AVNS,AMZN,AMZN,AMZN,AMZN,AVO,AVO
BBSI,BBSI,ANIP,ANIP,ANIP,ANIP,AWI,AWI
BCO,BCO,AOS,AOS,AOS,AOS,B,B
BLD,BLD,APG,APG,APG,APG,BALL,BALL
BSM,BSM,APTV,APTV,APTV,APTV,BCO,BCO
BWA,BWA,AVGO,AVGO,AVGO,AVGO,BCPC,BCPC
CBZ,CBZ,AWI,AWI,AWI,AWI,BRFS,BRFS
CCCS,CCCS,AWK,AWK,AWK,AWK,BWIN,BWIN
CCJ,CCJ,B,B,B,B,CAKE,CAKE
CCLD,CCLD,BALL,BALL,BALL,BALL,CAMT,CAMT
CCRD,CCRD,BBCP,BBCP,BBCP,BBCP,CARS,CARS
CHT,CHT,BBU,BBU,BBU,BBU,CCRD,CCRD
CLH,CLH,BG,BG,BG,BG,CGAU,CGAU
CMPO,CMPO,BLMN,BLMN,BLMN,BLMN,CHH,CHH
CNVS,CNVS,BOOM,BOOM,BOOM,BOOM,CLX,CLX
COOT,COOT,BRBR,BRBR,BRBR,BRBR,CMCSA,CMCSA
COP,COP,BSX,BSX,BSX,BSX,CMG,CMG
COST,COST,CALM,CALM,CALM,CALM,CMPR,CMPR
CPA,CPA,CCEP,CCEP,CCEP,CCEP,COST,COST
CPRT,CPRT,CCRN,CCRN,CCRN,CCRN,CPK,CPK
CRK,CRK,CIG,CIG,CIG,CIG,CRAI,CRAI
CTSH,CTSH,CMBT,CMBT,CMBT,CMBT,CRNT,CRNT
CVE,CVE,CME,CME,CME,CME,CWK,CWK
CVI,CVI,CMG,CMG,CMG,CMG,CXDO,CXDO
CX,CX,CMT,CMT,CMT,CMT,DAY,DAY
DAL,DAL,CNMD,CNMD,CNMD,CNMD,DCI,DCI
DEI,DEI,CNR,CNR,CNR,CNR,DIS,DIS
DIOD,DIOD,COLL,COLL,COLL,COLL,DLHC,DLHC
DIS,DIS,COO,COO,COO,COO,DORM,DORM
DOX,DOX,COST,COST,COST,COST,EAT,EAT
DVN,DVN,COTY,COTY,COTY,COTY,ECL,ECL
EEX,EEX,CPA,CPA,CPA,CPA,EFXT,EFXT
EOG,EOG,CPB,CPB,CPB,CPB,EHC,EHC
EP,EP,CROX,CROX,CROX,CROX,EIX,EIX
EPSN,EPSN,CVGI,CVGI,CVGI,CVGI,EME,EME
EQT,EQT,CWCO,CWCO,CWCO,CWCO,ESCA,ESCA
ESP,ESP,CXT,CXT,CXT,CXT,ESOA,ESOA
ETD,ETD,DAL,DAL,DAL,DAL,EVTC,EVTC
EXPE,EXPE,DDOG,DDOG,DDOG,DDOG,EXEL,EXEL
FDP,FDP,DGII,DGII,DGII,DGII,EZPW,EZPW
FICO,FICO,ECL,ECL,ECL,ECL,FCFS,FCFS
FWONA,FWONA,EME,EME,EME,EME,FDS,FDS
FWONK,FWONK,ENPH,ENPH,ENPH,ENPH,FFIV,FFIV
GLPI,GLPI,EPAC,EPAC,EPAC,EPAC,FICO,FICO
GPRK,GPRK,EPM,EPM,EPM,EPM,FTI,FTI
GSL,GSL,FAST,FAST,FAST,FAST,GDRX,GDRX
GTE,GTE,FDS,FDS,FDS,FDS,GHC,GHC
GTN,GTN,FFIV,FFIV,FFIV,FFIV,GILT,GILT
HHH,HHH,FLR,FLR,FLR,FLR,GLDD,GLDD
HSTM,HSTM,FMS,FMS,FMS,FMS,GNK,GNK
HUBG,HUBG,FN,FN,FN,FN,GNRC,GNRC
HURN,HURN,FORTY,FORTY,FORTY,FORTY,GOGL,GOGL
HVT,HVT,FSS,FSS,FSS,FSS,GTLS,GTLS
IART,IART,FSTR,FSTR,FSTR,FSTR,GTN,GTN
ICL,ICL,FTI,FTI,FTI,FTI,GVA,GVA
IEP,IEP,FTS,FTS,FTS,FTS,HAS,HAS
IIIN,IIIN,GHC,GHC,GHC,GHC,HBM,HBM
IMO,IMO,GILT,GILT,GILT,GILT,HLX,HLX
INSW,INSW,GO,GO,GO,GO,HOLX,HOLX
IR,IR,GRC,GRC,GRC,GRC,HRB,HRB
IRT,IRT,GSL,GSL,GSL,GSL,HRL,HRL
ITRN,ITRN,HPE,HPE,HPE,HPE,HUBB,HUBB
KFRC,KFRC,HSY,HSY,HSY,HSY,IBEX,IBEX
KNTK,KNTK,IBEX,IBEX,IBEX,IBEX,ICLR,ICLR
KNX,KNX,ICUI,ICUI,ICUI,ICUI,IDR,IDR
LBRT,LBRT,IDR,IDR,IDR,IDR,IDT,IDT
LKQ,LKQ,IDT,IDT,IDT,IDT,IDXX,IDXX
LRN,LRN,IDXX,IDXX,IDXX,IDXX,IMXI,IMXI
LSCC,LSCC,INFU,INFU,INFU,INFU,INFU,INFU
LSTR,LSTR,INSW,INSW,INSW,INSW,INGR,INGR
LXU,LXU,INTU,INTU,INTU,INTU,INSG,INSG
MBUU,MBUU,IR,IR,IR,IR,IPG,IPG
MCRI,MCRI,IT,IT,IT,IT,ITRN,ITRN
MGPI,MGPI,ITRI,ITRI,ITRI,ITRI,JYNT,JYNT
MLI,MLI,ITRN,ITRN,ITRN,ITRN,KEN,KEN
MO,MO,JBL,JBL,JBL,JBL,KEP,KEP
MOH,MOH,JBTM,JBTM,JBTM,JBTM,KEX,KEX
MP,MP,JCI,JCI,JCI,JCI,KGC,KGC
MPX,MPX,KELYA,KELYA,KELYA,KELYA,KGEI,KGEI
MRK,MRK,KELYB,KELYB,KELYB,KELYB,KMI,KMI
MTDR,MTDR,KEX,KEX,KEX,KEX,KRNT,KRNT
MTN,MTN,KLXE,KLXE,KLXE,KLXE,LAUR,LAUR
MYE,MYE,KMB,KMB,KMB,KMB,LCII,LCII
NAT,NAT,KOF,KOF,KOF,KOF,LLY,LLY
NC,NC,KOP,KOP,KOP,KOP,LPX,LPX
NJR,NJR,LAND,LAND,LAND,LAND,LXP,LXP
NOA,NOA,LIND,LIND,LIND,LIND,LYV,LYV
NOG,NOG,LNN,LNN,LNN,LNN,MAPS,MAPS
NOW,NOW,LRN,LRN,LRN,LRN,MAT,MAT
NVGS,NVGS,LSCC,LSCC,LSCC,LSCC,MCRI,MCRI
NXPI,NXPI,LWAY,LWAY,LWAY,LWAY,MDLZ,MDLZ
NXST,NXST,LYTS,LYTS,LYTS,LYTS,MDRR,MDRR
OC,OC,MAPS,MAPS,MAPS,MAPS,MEC,MEC
OLN,OLN,MAYS,MAYS,MAYS,MAYS,MEDP,MEDP
ON,ON,MDLZ,MDLZ,MDLZ,MDLZ,META,META
ORLA,ORLA,MKC,MKC,MKC,MKC,MKC,MKC
OTTR,OTTR,MLKN,MLKN,MLKN,MLKN,MKSI,MKSI
PAG,PAG,MMS,MMS,MMS,MMS,MLR,MLR
PARR,PARR,MOH,MOH,MOH,MOH,MMM,MMM
